dt,tx_ct
2023-07-20T00:00:00.000Z,333141
2023-07-21T00:00:00.000Z,1110882
2023-07-22T00:00:00.000Z,1004374
2023-07-23T00:00:00.000Z,977305
2023-07-24T00:00:00.000Z,1036300
2023-07-25T00:00:00.000Z,990249
2023-07-26T00:00:00.000Z,1029348
2023-07-27T00:00:00.000Z,998420
2023-07-28T00:00:00.000Z,1014601
2023-07-29T00:00:00.000Z,991161
2023-07-30T00:00:00.000Z,981157
2023-07-31T00:00:00.000Z,1048101
2023-08-01T00:00:00.000Z,1068108
2023-08-02T00:00:00.000Z,1042149
2023-08-03T00:00:00.000Z,1049539
2023-08-04T00:00:00.000Z,1075359
2023-08-05T00:00:00.000Z,1124372
2023-08-06T00:00:00.000Z,987506
2023-08-07T00:00:00.000Z,1047336
2023-08-08T00:00:00.000Z,1098689
2023-08-09T00:00:00.000Z,1076595
2023-08-10T00:00:00.000Z,1037733
2023-08-11T00:00:00.000Z,1050203
2023-08-12T00:00:00.000Z,972839
2023-08-13T00:00:00.000Z,920802
2023-08-14T00:00:00.000Z,1009971
2023-08-15T00:00:00.000Z,1056395
2023-08-16T00:00:00.000Z,1076026
2023-08-17T00:00:00.000Z,1065879
2023-08-18T00:00:00.000Z,1081417
2023-08-19T00:00:00.000Z,717438
